time,WMA_daily_5_close,Company
2024-03-19,112.9428,ABT
2024-03-18,114.3809,ABT
2024-03-15,116.5644,ABT
2024-03-14,118.1057,ABT
2024-03-13,118.6796,ABT
2024-03-12,118.7696,ABT
2024-03-11,118.5128,ABT
2024-03-08,118.4334,ABT
2024-03-07,117.9474,ABT
2024-03-06,117.3249,ABT
2024-03-05,117.2677,ABT
2024-03-04,117.5534,ABT
2024-03-01,117.2382,ABT
2024-02-29,117.4444,ABT
2024-02-28,117.669,ABT
2024-02-27,117.2874,ABT
2024-02-26,116.9381,ABT
2024-02-23,116.5145,ABT
2024-02-22,115.4559,ABT
2024-02-21,114.0848,ABT
2024-02-20,112.6624,ABT
2024-02-16,111.374,ABT
2024-02-15,110.8046,ABT
2024-02-14,110.2773,ABT
2024-02-13,110.3509,ABT
2024-02-12,110.8355,ABT
2024-02-09,110.8716,ABT
2024-02-08,111.1638,ABT
2024-02-07,111.3878,ABT
2024-02-06,111.3122,ABT
2024-02-05,110.976,ABT
2024-02-02,111.5296,ABT
2024-02-01,111.9256,ABT
2024-01-31,111.4062,ABT
2024-01-30,111.1704,ABT
2024-01-29,110.8604,ABT
2024-01-26,110.6089,ABT
2024-01-25,111.0062,ABT
2024-01-24,111.3622,ABT
2024-01-23,112.4772,ABT
2024-01-22,112.516,ABT
2024-01-19,112.4746,ABT
2024-01-18,112.1909,ABT
2024-01-17,112.1159,ABT
2024-01-16,111.956,ABT
2024-01-12,111.727,ABT
2024-01-11,111.2055,ABT
2024-01-10,110.6212,ABT
2024-01-09,109.6037,ABT
2024-01-08,108.9436,ABT
2024-01-05,108.2391,ABT
2024-01-04,108.0313,ABT
2024-01-03,107.6869,ABT
2024-01-02,107.8006,ABT
2023-12-29,107.7529,ABT
2023-12-28,107.5294,ABT
2023-12-27,107.002,ABT
2023-12-26,106.5844,ABT
2023-12-22,106.2734,ABT
2023-12-21,105.9139,ABT
2023-12-20,105.742,ABT
2023-12-19,105.9133,ABT
2023-12-18,105.6375,ABT
2023-12-15,105.3591,ABT
2023-12-14,105.1506,ABT
2023-12-13,104.2167,ABT
2023-12-12,103.573,ABT
2023-12-11,102.9633,ABT
2023-12-08,102.4365,ABT
2023-12-07,102.4927,ABT
2023-12-06,102.7149,ABT
2023-12-05,102.5607,ABT
2023-12-04,102.4496,ABT
2023-12-01,101.902,ABT
2023-11-30,101.3243,ABT
2023-11-29,100.8354,ABT
2023-11-28,100.4498,ABT
2023-11-27,100.5211,ABT
2023-11-24,100.1734,ABT
2023-11-22,99.6029,ABT
2023-11-21,98.7808,ABT
2023-11-20,97.9011,ABT
2023-11-17,96.8999,ABT
2023-11-16,96.0732,ABT
2023-11-15,94.576,ABT
2023-11-14,93.6042,ABT
2023-11-13,92.7841,ABT
2023-11-10,92.3338,ABT
2023-11-09,92.6004,ABT
2023-11-08,93.1618,ABT
2023-11-07,93.352,ABT
2023-11-06,93.5062,ABT
2023-11-03,93.4644,ABT
2023-11-02,92.9527,ABT
2023-11-01,92.2724,ABT
2023-10-31,91.8084,ABT
2023-10-30,91.5117,ABT
2023-10-27,91.9031,ABT
2023-10-26,92.6004,ABT
2023-10-25,93.0239,ABT
2023-10-24,93.7114,ABT
2023-10-23,93.8192,ABT
2023-10-20,93.3748,ABT
2023-10-19,92.2175,ABT
2023-10-18,91.1548,ABT
2023-10-17,89.8281,ABT
2023-10-16,89.9373,ABT
2023-10-13,90.2972,ABT
2023-10-12,91.4422,ABT
2023-10-11,93.1669,ABT
2023-10-10,94.4569,ABT
2023-10-09,94.0332,ABT
2023-10-06,93.8025,ABT
2023-10-05,93.5308,ABT
2023-10-04,93.6049,ABT
2023-10-03,93.8499,ABT
2023-10-02,94.078,ABT
2023-09-29,94.4387,ABT
2023-09-28,94.5199,ABT
2023-09-27,94.2411,ABT
2023-09-26,95.1126,ABT
2023-09-25,96.0451,ABT
2023-09-22,96.8041,ABT
2023-09-21,97.5755,ABT
2023-09-20,98.3351,ABT
2023-09-19,98.8128,ABT
2023-09-18,99.2761,ABT
2023-09-15,99.7265,ABT
2023-09-14,99.8707,ABT
2023-09-13,99.5906,ABT
2023-09-12,99.2241,ABT
2023-09-11,98.8531,ABT
2023-09-08,98.4918,ABT
2023-09-07,98.8303,ABT
2023-09-06,99.4314,ABT
2023-09-05,99.8935,ABT
2023-09-01,100.7006,ABT
2023-08-31,100.956,ABT
2023-08-30,101.2503,ABT
2023-08-29,101.1009,ABT
2023-08-28,101.2101,ABT
2023-08-25,101.7403,ABT
2023-08-24,101.7767,ABT
2023-08-23,102.0393,ABT
2023-08-22,101.8144,ABT
2023-08-21,101.5694,ABT
2023-08-18,101.8852,ABT
2023-08-17,102.357,ABT
2023-08-16,102.4201,ABT
2023-08-15,102.6631,ABT
2023-08-14,102.8145,ABT
2023-08-11,102.7417,ABT
2023-08-10,103.0777,ABT
2023-08-09,103.7808,ABT
2023-08-08,104.5178,ABT
2023-08-07,105.4854,ABT
2023-08-04,105.7076,ABT
2023-08-03,106.5199,ABT
2023-08-02,107.7001,ABT
2023-08-01,108.8841,ABT
2023-07-31,109.6034,ABT
2023-07-28,110.2767,ABT
2023-07-27,110.5964,ABT
2023-07-26,110.8888,ABT
2023-07-25,110.2747,ABT
2023-07-24,109.6457,ABT
2023-07-21,107.9723,ABT
2023-07-20,105.9929,ABT
2023-07-19,104.547,ABT
2023-07-18,104.5188,ABT
2023-07-17,104.6007,ABT
2023-07-14,104.6349,ABT
2023-07-13,104.2317,ABT
2023-07-12,103.8223,ABT
2023-07-11,103.8992,ABT
2023-07-10,103.7479,ABT
2023-07-07,103.8811,ABT
2023-07-06,104.3158,ABT
2023-07-05,104.502,ABT
2023-07-03,104.6605,ABT
2023-06-30,104.9509,ABT
2023-06-29,104.5965,ABT
2023-06-28,104.72,ABT
2023-06-27,104.7717,ABT
2023-06-26,104.6948,ABT
2023-06-23,104.2356,ABT
2023-06-22,103.7291,ABT
2023-06-21,102.8346,ABT
2023-06-20,102.303,ABT
2023-06-16,101.283,ABT
2023-06-15,100.133,ABT
2023-06-14,99.0904,ABT
2023-06-13,98.5173,ABT
2023-06-12,98.443,ABT
2023-06-09,98.67,ABT
2023-06-08,98.9656,ABT
2023-06-07,99.6874,ABT
2023-06-06,100.1466,ABT
2023-06-05,100.2365,ABT
2023-06-02,99.9002,ABT
2023-06-01,99.2883,ABT
2023-05-31,99.2016,ABT
2023-05-30,99.622,ABT
2023-05-26,100.5592,ABT
2023-05-25,101.5132,ABT
2023-05-24,103.1127,ABT
2023-05-23,104.4069,ABT
2023-05-22,105.3875,ABT
2023-05-19,105.6591,ABT
2023-05-18,105.8118,ABT
2023-05-17,106.2154,ABT
2023-05-16,106.6267,ABT
2023-05-15,106.9094,ABT
2023-05-12,107.115,ABT
2023-05-11,107.1603,ABT
2023-05-10,107.4003,ABT
2023-05-09,107.5025,ABT
2023-05-08,107.8278,ABT
2023-05-05,107.9565,ABT
2023-05-04,107.9177,ABT
2023-05-03,107.9203,ABT
2023-05-02,107.4371,ABT
2023-05-01,106.9391,ABT
2023-04-28,106.5213,ABT
2023-04-27,106.3874,ABT
2023-04-26,106.6222,ABT
2023-04-25,107.3285,ABT
2023-04-24,107.2638,ABT
2023-04-21,106.6797,ABT
2023-04-20,105.1902,ABT
2023-04-19,103.6884,ABT
2023-04-18,100.8974,ABT
2023-04-17,100.6504,ABT
2023-04-14,100.1979,ABT
2023-04-13,99.956,ABT
2023-04-12,99.833,ABT
2023-04-11,100.2276,ABT
2023-04-10,100.2778,ABT
